var,cat,varCorr,varWeakCorr,varInd,varNonMon,varBiRaw,varOutlier,varOutlierNoise,varBi,varExp
3,0,6.320335,17.71864,4.299648,8.75,.0316617,-1,11.27835,0,1.822119
5,0,6.802379,8.679899,5.445352,12.75,.6922094,-1.666667,15.59128,1,2.718282
3,1,.0886511,.7677075,1.029927,8.75,.1589295,-1,16.70749,0,1.822119
15,0,12.80662,18.43308,9.987334,2.75,.1257472,50,68.3509,0,20.08554
12,1,11.59131,8.500076,7.071755,11,.6499108,-4,-.429595,1,11.02318
6,1,1.205441,1.811344,3.00157,14,.6948789,-2,13.9224,1,3.320117
14,1,18.47536,17.34319,11.91539,6,.3620667,-4.666667,-4.4815,0,16.44465
2,0,3.61084,2.43628,7.128063,6,.6895373,-.6666667,-.5750179,1,1.491825
9,0,9.927052,18.5574,5.372198,14.75,.1283483,-3,3.763536,0,6.049647
11,0,14.02034,14.08465,8.714008,12.75,.4842256,-3.666667,9.52766,0,9.025014
15,1,15.4472,14.44705,11.56567,2.75,.1523629,50,61.92396,0,20.08554
1,0,5.277202,8.504928,11.38225,2.75,.4018854,-.3333333,4.349723,0,1.221403
13,1,14.13883,15.12347,10.16238,8.75,.1706715,-4.333333,9.865591,0,13.46374
13,0,8.874312,13.89143,12.21834,8.75,.6864638,-4.333333,3.943735,1,13.46374
2,0,1.105803,2.581464,11.17943,6,.6101589,-.6666667,14.28979,1,1.491825
