,country,year,GDPPerCapita,exportsShareGDP,taxRevenueShareGDP,importsShareGDP,yearJoinEU,euJoin2004
1,Albania,1992,200.8522198,12.49959149,NA,96.28588075,9999,No EU Member
20,Albania,1993,367.2792251,15.97882981,NA,64.53950296,9999,No EU Member
39,Albania,1994,586.4163396,11.98369435,NA,41.11889039,9999,No EU Member
58,Albania,1995,750.6044492,12.6408295,13.6007883,34.96976538,9999,No EU Member
77,Albania,1996,1009.977275,11.62044389,8.861718692,33.27501279,9999,No EU Member
96,Albania,1997,717.3800477,10.19726914,9.904836957,35.22835653,9999,No EU Member
115,Albania,1998,813.7893966,11.46712468,14.5689441,36.67032179,9999,No EU Member
134,Albania,1999,1033.242532,16.84175169,NA,34.16930797,9999,No EU Member
153,Albania,2000,1126.68334,20.11536336,NA,43.33887338,9999,No EU Member
172,Albania,2001,1281.659826,21.33343035,NA,45.1575919,9999,No EU Member
191,Albania,2002,1425.124219,20.9456604,16.48424227,47.57950119,9999,No EU Member
210,Albania,2003,1846.120121,20.84743662,17.19613774,46.17315246,9999,No EU Member
229,Albania,2004,2373.581292,22.21753771,17.96507586,44.82956825,9999,No EU Member
248,Albania,2005,2673.786584,23.01299612,NA,47.85932703,9999,No EU Member
267,Albania,2006,2972.742924,25.20959971,NA,49.05750314,9999,No EU Member
286,Albania,2007,3595.038057,28.24786024,NA,54.95418051,9999,No EU Member
305,Albania,2008,4370.539925,25.30240331,NA,52.14930284,9999,No EU Member
324,Albania,2009,4114.134899,25.24074773,NA,49.85418765,9999,No EU Member
343,Albania,2010,4094.360204,27.97946186,NA,48.56398404,9999,No EU Member
362,Albania,2011,4437.177794,29.24150254,18.02201328,51.97705102,9999,No EU Member
381,Albania,2012,4247.614342,28.93748626,17.48323356,47.5726866,9999,No EU Member
400,Albania,2013,4413.082887,28.91634625,16.50327061,46.95741575,9999,No EU Member
419,Albania,2014,4578.667934,28.21297136,18.30193614,47.1948427,9999,No EU Member
438,Albania,2015,3952.830781,27.26738418,18.51578986,44.53363192,9999,No EU Member
457,Albania,2016,4131.872341,28.9234171,17.55717773,45.74584257,9999,No EU Member
476,Albania,2017,4537.579056,31.52427158,18.86023507,46.55718449,9999,No EU Member
495,Albania,2018,NA,NA,NA,NA,9999,No EU Member
2,Armenia,1992,369.6333681,39.82075502,NA,61.25600438,9999,No EU Member
21,Armenia,1993,357.2043399,47.21897587,NA,60.75417041,9999,No EU Member
40,Armenia,1994,400.5160919,39.32803935,NA,73.10132525,9999,No EU Member
59,Armenia,1995,456.3758998,23.92792083,NA,62.18693624,9999,No EU Member
78,Armenia,1996,504.059514,23.2400035,NA,55.98955662,9999,No EU Member
97,Armenia,1997,523.2835691,20.27326939,NA,58.27447567,9999,No EU Member
116,Armenia,1998,609.1730254,19.00301997,NA,52.83943191,9999,No EU Member
135,Armenia,1999,597.4334817,20.75824695,NA,49.80223219,9999,No EU Member
154,Armenia,2000,622.7427477,23.37525912,NA,50.54326015,9999,No EU Member
173,Armenia,2001,694.4305119,25.46839941,NA,46.14879722,9999,No EU Member
192,Armenia,2002,783.2616099,29.35657306,NA,46.5868759,9999,No EU Member
211,Armenia,2003,930.1661567,32.15266963,NA,50.03500154,9999,No EU Member
230,Armenia,2004,1191.96192,29.73481317,13.99640565,45.30239702,9999,No EU Member
249,Armenia,2005,1643.758543,28.80924261,14.33566341,43.22971407,9999,No EU Member
268,Armenia,2006,2158.002909,23.35898587,14.39598656,39.2502072,9999,No EU Member
287,Armenia,2007,3138.808703,19.18563442,15.96253173,39.15081126,9999,No EU Member
306,Armenia,2008,4010.026997,15.0471063,17.32175873,40.65575862,9999,No EU Member
325,Armenia,2009,2993.832531,15.47447505,16.50586323,43.00439482,9999,No EU Member
